date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:01	84/84	---M-Z	200	added ('OK')	text/plain	etag:%2265-5a60fe2e48040-gzip%22	http://www.webscantest.com/robots.txt		(from )
13:36:01	5190/5190	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:02%20GMT	http://www.webscantest.com/	copia/www.webscantest.com/index.html	(from )
13:36:02	10110/10110	---M-Z	200	added ('OK')	text/css	etag:%22277e-5a60fe2ad2412-gzip%22	http://www.webscantest.com/css/style.css	copia/www.webscantest.com/css/style.css	(from http://www.webscantest.com/)
13:36:03	1596/1596	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:04%20GMT	http://www.webscantest.com/login.php	copia/www.webscantest.com/login.html	(from http://www.webscantest.com/)
13:36:04	1349/1349	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:05%20GMT	http://www.webscantest.com/jsmenu/auto_datastore.php	copia/www.webscantest.com/jsmenu/auto_datastore.html	(from http://www.webscantest.com/)
13:36:05	1352/1352	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:06%20GMT	http://www.webscantest.com/jsmenu/auto_shutterdb.php	copia/www.webscantest.com/jsmenu/auto_shutterdb.html	(from http://www.webscantest.com/)
13:36:06	1402/1402	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:07%20GMT	http://www.webscantest.com/jsmenu/auto_crosstraining.php	copia/www.webscantest.com/jsmenu/auto_crosstraining.html	(from http://www.webscantest.com/)
13:36:07	324/324	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2025%20Apr%202021%2011:36:08%20GMT	http://www.webscantest.com/csrf	copia/www.webscantest.com/csrf.5.delayed	(from http://www.webscantest.com/)
13:36:08	5098/5098	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:09%20GMT	http://www.webscantest.com/cors/cors.php	copia/www.webscantest.com/cors/cors.6.delayed	(from http://www.webscantest.com/)
13:36:09	2166/2166	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:09%20GMT	http://www.webscantest.com/csrf/	copia/www.webscantest.com/csrf/index.html	(from http://www.webscantest.com/)
13:36:09	11320/11320	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:10%20GMT	http://www.webscantest.com/soap/demo/	copia/www.webscantest.com/soap/demo/index.html	(from http://www.webscantest.com/)
13:36:09	1398/1398	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:10%20GMT	http://www.webscantest.com/jsmenu/auto_osrun.php	copia/www.webscantest.com/jsmenu/auto_osrun.html	(from http://www.webscantest.com/)
13:36:10	12301/12301	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:10%20GMT	http://www.webscantest.com/rest/demo/	copia/www.webscantest.com/rest/demo/index.html	(from http://www.webscantest.com/)
13:36:10	1572/1572	---M-Z	200	added ('OK')	text/html	etag:%22624-5a60fe2e27c9e-gzip%22	http://www.webscantest.com/react/index/	copia/www.webscantest.com/react/index/index.html	(from http://www.webscantest.com/)
13:36:10	1945/1945	---M-Z	200	added ('OK')	text/html	etag:%22799-5a60fe2ac1a71-gzip%22	http://www.webscantest.com/angular/	copia/www.webscantest.com/angular/index.html	(from http://www.webscantest.com/)
13:36:10	1641/1641	---M-Z	200	added ('OK')	text/html	date:Sun,%2025%20Apr%202021%2011:36:11%20GMT	http://www.webscantest.com/jsmenu/cookie_set_coffeepits.php	copia/www.webscantest.com/jsmenu/cookie_set_coffeepits.html	(from http://www.webscantest.com/)
